column,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,dtype
RT,13615,1,H,13615,,,,,,,,0,0.0,object
SERIALNO,13615,13615,2021HU1414728,1,,,,,,,,0,0.0,object
DIVISION,13615.0,1,,,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0,0.0,int64
PUMA,13615.0,20,,,960.7638633859714,584.9716791601786,100.0,400.0,900.0,1500.0,2000.0,0,0.0,int64
REGION,13615.0,1,,,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0,0.0,int64
ST,13615.0,1,,,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0,0.0,int64
ADJHSG,13615.0,1,,,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0,0.0,int64
ADJINC,13615.0,1,,,1029928.0,0.0,1029928.0,1029928.0,1029928.0,1029928.0,1029928.0,0,0.0,int64
WGTP,13615.0,512,,,86.93903782592729,89.51748025632108,0.0,29.0,64.0,112.0,1616.0,0,0.0,int64
NP,13615.0,13,,,2.207124495042233,1.3455963064780654,1.0,1.0,2.0,3.0,20.0,0,0.0,int64
TYPEHUGQ,13615.0,3,,,1.143150936467132,0.4509102187007375,1.0,1.0,1.0,1.0,3.0,0,0.0,int64
ACCESSINET,12215.0,3,,,1.281948424068768,0.6794709909441049,1.0,1.0,1.0,1.0,3.0,1400,10.282776349614396,float64
ACR,10771.0,3,,,1.4955900102126078,0.6605012393869304,1.0,1.0,1.0,2.0,3.0,2844,20.888725670216672,float64
AGS,4335.0,6,,,1.1995386389850058,0.8792326694628416,1.0,1.0,1.0,1.0,6.0,9280,68.160117517444,float64
BATH,12215.0,2,,,1.0026197298403603,0.0511183018091533,1.0,1.0,1.0,1.0,2.0,1400,10.282776349614396,float64
BDSP,12215.0,6,,,2.805812525583299,0.900184073687532,0.0,2.0,3.0,3.0,5.0,1400,10.282776349614396,float64
BLD,12215.0,10,,,2.3918133442488743,1.5188025556603704,1.0,2.0,2.0,2.0,10.0,1400,10.282776349614396,float64
BROADBND,10354.0,2,,,1.084218659455283,0.27772887223166143,1.0,1.0,1.0,1.0,2.0,3261,23.951524054351818,float64
COMPOTHX,12215.0,2,,,1.9842816209578387,0.12438881898775538,1.0,2.0,2.0,2.0,2.0,1400,10.282776349614396,float64
CONP,8873.0,30,,,2.167248957511552,37.5825268682878,0.0,0.0,0.0,0.0,1400.0,4742,34.82923246419391,float64
DIALUP,10354.0,2,,,1.9721846629322002,0.16445137899619447,1.0,2.0,2.0,2.0,2.0,3261,23.951524054351818,float64
ELEFP,12215.0,3,,,2.9539091281211625,0.27875058078659926,1.0,3.0,3.0,3.0,3.0,1400,10.282776349614396,float64
ELEP,11858.0,54,,,167.06527238994772,96.86828990020477,4.0,100.0,150.0,200.0,660.0,1757,12.904884318766067,float64
FS,13615.0,2,,,1.8922511935365405,0.31007428617008703,1.0,2.0,2.0,2.0,2.0,0,0.0,int64
FULFP,12215.0,3,,,2.0662300450266065,0.25838166559040066,1.0,2.0,2.0,2.0,3.0,1400,10.282776349614396,float64
FULP,839.0,81,,,478.5101311084625,503.2646613939608,4.0,150.0,300.0,600.0,2300.0,12776,93.8376790304811,float64
GASFP,12215.0,4,,,3.531395824805567,0.5760993222640278,1.0,3.0,4.0,4.0,4.0,1400,10.282776349614396,float64
GASP,6868.0,41,,,83.46942341292953,81.22651116507589,4.0,30.0,60.0,100.0,520.0,6747,49.555637164891664,float64
HFL,12215.0,8,,,2.295374539500614,1.2518951954038486,1.0,1.0,3.0,3.0,9.0,1400,10.282776349614396,float64
HISPEED,10354.0,2,,,1.2785396948039405,0.44830206732793987,1.0,1.0,1.0,2.0,2.0,3261,23.951524054351818,float64
HOTWAT,12215.0,1,,,9.0,0.0,9.0,9.0,9.0,9.0,9.0,1400,10.282776349614396,float64
INSP,8873.0,134,,,1006.3978361320861,878.8006238497078,0.0,210.0,1000.0,1400.0,5800.0,4742,34.82923246419391,float64
LAPTOP,12215.0,2,,,1.300450266066312,0.45847258565909504,1.0,1.0,1.0,2.0,2.0,1400,10.282776349614396,float64
MHP,1023.0,84,,,352.4516129032258,815.6661063329714,0.0,0.0,150.0,315.0,5500.0,12592,92.48622842453177,float64
